═══════════════════════════════════════════════════════════════════════════════
PALAVRAS NÃO TRADUZIDAS - APOCALIPSE
Bíblia Belém An.C 2025
═══════════════════════════════════════════════════════════════════════════════

Data: 2026-01-17
Total de palavras únicas: 1981
Traduzidas: 243
Mantidas no original: 2
Não traduzidas: 1736

═══════════════════════════════════════════════════════════════════════════════
PALAVRAS SEM TRADUÇÃO (ordenadas por frequência)
═══════════════════════════════════════════════════════════════════════════════

Freq.  Palavra Grega
   1x  πτέρυγες
   1x  πτέρυγας
   1x  πρόβατα
   1x  πρωϊνός
   1x  πρωϊνόν
   1x  προφῆτιν
   1x  προφητεῦσαι
   1x  προφητεύσουσιν
   1x  προφήτας
   1x  προφήταις
   1x  προσκυνοῦντες
   1x  προσκυνεῖ
   1x  προσκυνήσωσιν
   1x  προσκυνήσατε
   1x  προσευχαὶ
   1x  πρεσβυτέρους
   1x  ποταμῷ
   1x  ποταμῶν
   1x  ποταμόν
   1x  ποταμοῦ
   1x  ποταμοὺς
   1x  ποταμοφόρητον
   1x  πορφύρας
   1x  πορνεύσαντες
   1x  πορνείᾳ
   1x  πολὺ
   1x  πολλὰ
   1x  πολλοῖς
   1x  πολλοὶ
   1x  πολλά
   1x  πολεμεῖ
   1x  πολεμήσω
   1x  πολεμήσουσιν
   1x  ποιῶ
   1x  ποιῇ
   1x  ποιοῦντα
   1x  ποιοῦν
   1x  ποιμαίνειν
   1x  ποιησάτω
   1x  ποιήσουσιν
   1x  ποιήσει
   1x  ποιήσας
   1x  ποιήσαντι
   1x  ποδήρη
   1x  ποίησον
   1x  ποίαν
   1x  πνευματικῶς
   1x  πνευμάτων
   1x  πνέῃ
   1x  πλὴν
   1x  πλύνοντες
   1x  πλοῖα
   1x  πλούσιος
   1x  πλούσιοι
   1x  πλουτήσῃς
   1x  πλουτήσαντες
   1x  πλουσίους
   1x  πλοίων
   1x  πληρωθῶσιν
   1x  πληγῇ
   1x  πληγῆς
   1x  πληγὴν
   1x  πληγαῖς
   1x  πλείονα
   1x  πλατεῖα
   1x  πλανῆσαι
   1x  πλανήσῃ
   1x  πλέων
   1x  πιστοί
   1x  πικρανεῖ
   1x  πηχῶν
   1x  πηγῆς
   1x  πεῖν
   1x  πετόμενον
   1x  πετομένῳ
   1x  πετομένου
   1x  πετομένοις
   1x  πεσοῦνται
   1x  περιπατῇ
   1x  περιπατεῖν
   1x  περιεζωσμένον
   1x  περιεζωσμένοι
   1x  περιβεβλημένος
   1x  περιβεβλημένον
   1x  περιβαλεῖται
   1x  περιβάλῃ
   1x  περιβάληται
   1x  πεπότικεν
   1x  πεπυρωμένον
   1x  πεπυρωμένης
   1x  πεπτωκότα
   1x  πεπλούτηκα
   1x  πεπληρωμένα
   1x  πεπελεκισμένων
   1x  πενθοῦσιν
   1x  πειρασμοῦ
   1x  πειρασθῆτε
   1x  πειράσαι
   1x  πεινάσουσιν
   1x  πατεῖ
   1x  πατήσουσιν
   1x  πατάξῃ
   1x  πατάξαι
   1x  παρθένοι
   1x  παρεμβολὴν
   1x  παρδάλει
   1x  παρέσται
   1x  παιδεύω
   1x  παίσῃ
   1x  πίεται
   1x  πέτρας
   1x  πέτραις
   1x  πέτηται
   1x  πέσῃ
   1x  πέπωκαν
   1x  πέπτωκες
   1x  πέμψουσιν
   1x  πέμψον
   1x  πέμπτην
   1x  πάσῃ
   1x  πάσχειν
   1x  πάντας
   1x  οὗτοί
   1x  οὗ
   1x  οὐρὰς
   1x  οὐρὰ
   1x  οὐραὶ
   1x  οὐρανοὶ
   1x  οὐρανέ
   1x  οὐδὲν
   1x  οἷος
   1x  οἴσουσιν
   1x  οἰκουμένην
   1x  ξύλινα
   1x  νύμφης
   1x  νύμφη
   1x  νότου
   1x  νυμφίου
   1x  νοῦς
   1x  νοῦν
   1x  νικῶντας
   1x  νικῆσαι
   1x  νικήσῃ
   1x  νεφροὺς
   1x  νεφελῶν
   1x  νεφέλῃ
   1x  νεφέλη
   1x  νεκροῦ
   1x  νεκρούς
   1x  ναῦται
   1x  νήσῳ
   1x  μύρον
   1x  μύλου
   1x  μύλινον
   1x  μόσχῳ
   1x  μυριάδες
   1x  μυκᾶται
   1x  μουσικῶν
   1x  μοιχεύοντας
   1x  μνῆμα
   1x  μισῶ
   1x  μισθὸν
   1x  μισθός
   1x  μισεῖς
   1x  μισήσουσιν
   1x  μικρῶν
   1x  μικρὸν
   1x  μικρὰν
   1x  μικρόν
   1x  μικροῖς
   1x  μικροὺς
   1x  μικροὶ
   1x  μικρούς
   1x  μηρὸν
   1x  μηδεὶς
   1x  μεῖναι
   1x  μετώπου
   1x  μετρήσῃς
   1x  μετρήσῃ
   1x  μετανοῆσαι
   1x  μετανοήσῃς
   1x  μετανοήσῃ
   1x  μετανοήσουσιν
   1x  μεμισημένου
   1x  μεμιγμένην
   1x  μεμιγμένα
   1x  μελλόντων
   1x  μεθ’
   1x  μεθύουσαν
   1x  μεγάλῳ
   1x  μεγάλων
   1x  μεγάλοις
   1x  μεγάλοι
   1x  μεγάλαι
   1x  μαχαίρης
   1x  μαστοῖς
   1x  μαρτύρων
   1x  μαρτυρῶν
   1x  μαρτυρῆσαι
   1x  μαρτυρίου
   1x  μαρτυρίας
   1x  μαρμάρου
   1x  μαργαρῖται
   1x  μαργαριτῶν
   1x  μαργαρίτῃ
   1x  μαργαρίτου
   1x  μαργαρίταις
   1x  μακάριοι
   1x  μαθεῖν
   1x  μία
   1x  μέτρησον
   1x  μέσον
   1x  μέρη
   1x  μέλλῃ
   1x  μέλλω
   1x  μέλλοντες
   1x  μέλλεις
   1x  μάχαιρα
   1x  μάρτυσίν
   1x  μάννα
   1x  λῦσαι
   1x  λύχνος
   1x  λόγων
   1x  λυχνίαν
   1x  λυθῆναι
   1x  λυθήσεται
   1x  λοιπὰ
   1x  λοιποῖς
   1x  λιπαρὰ
   1x  λιμῷ
   1x  λιμός
   1x  λιβανωτὸν
   1x  λιβανωτόν
   1x  ληνὸς
   1x  ληνοῦ
   1x  λευκὰς
   1x  λευκὰ
   1x  λευκόν
   1x  λευκαὶ
   1x  λευκήν
   1x  λευκάς
   1x  λαὸν
   1x  λαός
   1x  λαόν
   1x  λατρεύσουσιν
   1x  λατρεύουσιν
   1x  λαοῦ
   1x  λαοῖς
   1x  λαμπρὰ
   1x  λαμπρός
   1x  λαμπάς
   1x  λαμπάδες
   1x  λαμβάνων
   1x  λαμβάνουσιν
   1x  λαλῶν
   1x  λαλοῦσαν
   1x  λαλοῦν
   1x  λαλούσης
   1x  λαλήσῃ
   1x  λαβόντας
   1x  λαβέτω
   1x  λίνον
   1x  λίμνῃ
   1x  λίμνη
   1x  λίθου
   1x  λίθον
   1x  λίθινα
   1x  λίβανον
   1x  λέων
   1x  λέοντος
   1x  λέοντι
   1x  λέγουσίν
   1x  λέγοντα
   1x  λέγεται
   1x  λέγεις
   1x  λάβῃ
   1x  λάβητε
   1x  λάβε
   1x  κἀγώ
   1x  κύνες
   1x  κόπων
   1x  κόπον
   1x  κυριακῇ
   1x  κυρίων
   1x  κυβερνήτης
   1x  κτισμάτων
   1x  κτίσμα
   1x  κτίσεως
   1x  κτήνη
   1x  κρύψατε
   1x  κρύσταλλον
   1x  κρυσταλλίζοντι
   1x  κρυστάλλῳ
   1x  κρούω
   1x  κριθῶν
   1x  κριθῆναι
   1x  κραυγὴ
   1x  κρατεῖς
   1x  κρατήσατε
   1x  κρίσις
   1x  κρίσεως
   1x  κρίνεις
   1x  κρίνει
   1x  κρίνας
   1x  κράτει
   1x  κράζων
   1x  κράζουσιν
   1x  κράζει
   1x  κολλούριον
   1x  κοκκίνου
   1x  κοινὸν
   1x  κοιλίαν
   1x  κοιλία
   1x  κλητοὶ
   1x  κληρονομήσει
   1x  κλεῖς
   1x  κλεὶς
   1x  κλεμμάτων
   1x  κλεισθῶσιν
   1x  κλείων
   1x  κλείσει
   1x  κλαῖε
   1x  κλαύσουσιν
   1x  κλαίουσιν
   1x  κλίνην
   1x  κιννάμωμον
   1x  κινήσω
   1x  κιθαριζόντων
   1x  κιθάρας
   1x  κιθάραν
   1x  κιθάραις
   1x  κιβωτὸς
   1x  κηρύσσοντα
   1x  κεῖται
   1x  κεφαλῶν
   1x  κεφαλὴ
   1x  κεφαλάς
   1x  κεραμικὰ
   1x  κεράσατε
   1x  κεκρυμμένου
   1x  κεκοσμημένοι
   1x  κεκοσμημένην
   1x  κεκοπίακες
   1x  κεκλημένοι
   1x  κεκερασμένου
   1x  καυματίσαι
   1x  κατοικοῦσιν
   1x  κατοικούντων
   1x  κατοικητήριον
   1x  κατοικεῖς
   1x  κατοικεῖ
   1x  κατηγορῶν
   1x  κατεσφραγισμένον
   1x  κατεσθίει
   1x  καταφάγῃ
   1x  κατακαύσουσιν
   1x  κατακαυθήσεται
   1x  καταβαίνουσα
   1x  καταβαίνειν
   1x  καταβαίνει
   1x  κατήγωρ
   1x  κατέφαγον
   1x  κατέφαγεν
   1x  κατέπιεν
   1x  κατάφαγε
   1x  κατάθεμα
   1x  καρπὸν
   1x  καρποὺς
   1x  καμίνῳ
   1x  καμίνου
   1x  καλούμενον
   1x  καλουμένῃ
   1x  καλεῖται
   1x  καλάμῳ
   1x  κακούς
   1x  καιόμενος
   1x  καιόμενον
   1x  καιόμεναι
   1x  καιροῦ
   1x  καιροὺς
   1x  καιομένῃ
   1x  καιομένης
   1x  καινῆς
   1x  καινὰ
   1x  καινόν
   1x  καινήν
   1x  καθ’
   1x  καθημένων
   1x  καθημένης
   1x  καθημένην
   1x  καθαρῷ
   1x  καθίσαι
   1x  καθήμενοι
   1x  κέντρα
   1x  κέκληται
   1x  κάλαμος
   1x  κάλαμον
   1x  θύϊνον
   1x  θύρα
   1x  θυμὸς
   1x  θυμὸν
   1x  θλίψεως
   1x  θλίψει
   1x  θηρίων
   1x  θεῖον
   1x  θεωροῦντας
   1x  θερισμὸς
   1x  θεραπείαν
   1x  θερίσαι
   1x  θεμελίους
   1x  θεμέλιος
   1x  θεμέλιοι
   1x  θελήσῃ
   1x  θελήσωσιν
   1x  θειώδεις
   1x  θαῦμα
   1x  θαυμαστὰ
   1x  θαυμαστόν
   1x  θαυμασθήσονται
   1x  θέρισον
   1x  θέλων
   1x  θέλημά
   1x  ζῶντες
   1x  ζῶν
   1x  ζῇς
   1x  ζώνην
   1x  ζώνας
   1x  ζυγὸν
   1x  ζητήσουσιν
   1x  ζεστὸς
   1x  ζήλευε
   1x  εὕρηκά
   1x  εὑρέθησαν
   1x  εὐώνυμον
   1x  εὐχαριστίαν
   1x  εὐχαριστία
   1x  εὐφραίνονται
   1x  εὐφραίνεσθε
   1x  εὐλογίαν
   1x  εὐθέως
   1x  εὐηγγέλισεν
   1x  εὐαγγελίσαι
   1x  εὐαγγέλιον
   1x  εἶχαν
   1x  εἴρηκαν
   1x  εἴρηκα
   1x  εἴληφα
   1x  εἴδωλα
   1x  εἱστήκεισαν
   1x  εἰσῆλθεν
   1x  εἰσελθεῖν
   1x  εἰσελεύσομαι
   1x  εἰσέλθῃ
   1x  εἰσέλθωσιν
   1x  εἰρήνην
   1x  εἰπάτω
   1x  εἰκὼν
   1x  εἰκόνος
   1x  εἰδωλολάτραις
   1x  εἰδωλολάτραι
   1x  δῶσιν
   1x  δῶρα
   1x  δώσουσιν
   1x  δώσομεν
   1x  δώσει
   1x  δύνῃ
   1x  δύνηται
   1x  δύνανται
   1x  δύναμίν
   1x  δωδέκατος
   1x  δυσὶν
   1x  δυσμῶν
   1x  δυνάμει
   1x  δρέπανόν
   1x  δράκοντι
   1x  δράκοντα
   1x  δοῦναί
   1x  δούλου
   1x  δοξάσει
   1x  διψῶντι
   1x  διψῶν
   1x  διψήσουσιν
   1x  δισμυριάδες
   1x  διπλᾶ
   1x  διπλώσατε
   1x  διπλοῦν
   1x  δικαιώματα
   1x  δικαιώματά
   1x  δικαιοσύνῃ
   1x  δικαιοσύνην
   1x  διεφθάρησαν
   1x  διδῶ
   1x  διδόασιν
   1x  διδάσκει
   1x  διαφθεῖραι
   1x  διαφθείροντας
   1x  διαυγής
   1x  διακονίαν
   1x  διαθήκης
   1x  δεύτερός
   1x  δευτέραν
   1x  δευτέρα
   1x  δεξιὸν
   1x  δειπνήσω
   1x  δειλοῖς
   1x  δεικνύοντός
   1x  δεδεμένους
   1x  δαιμόνια
   1x  δίστομος
   1x  δίστομον
   1x  δένδρων
   1x  δένδρα
   1x  δέκατος
   1x  δέκατον
   1x  δέδωκας
   1x  δέδωκα
   1x  γωνίας
   1x  γωνίαις
   1x  γυναικὶ
   1x  γυμνὸς
   1x  γυμνότητός
   1x  γυμνός
   1x  γυμνήν
   1x  γρηγορήσῃς
   1x  γράψῃς
   1x  γράψω
   1x  γράφειν
   1x  γνῷς
   1x  γνῶσιν
   1x  γνώσονται
   1x  γλῶσσαι
   1x  γλώσσης
   1x  γλώσσας
   1x  γλώσσαις
   1x  γλυκὺ
   1x  γλυκύ
   1x  γεμόντων
   1x  γεγραμμένος
   1x  γεγραμμένοι
   1x  γεγραμμένας
   1x  γεγραμμένα
   1x  γαστρὶ
   1x  γένος
   1x  γέμουσιν
   1x  γέμον
   1x  γάρ
   1x  γάμου
   1x  γάμος
   1x  βότρυας
   1x  βυσσίνου
   1x  βροντῶν
   1x  βρέχῃ
   1x  βορρᾶ
   1x  βληθήσεται
   1x  βλεπόντων
   1x  βλασφημῆσαι
   1x  βλασφημίαν
   1x  βλέπῃς
   1x  βλέπων
   1x  βλέπουσιν
   1x  βλέποντες
   1x  βλέπεις
   1x  βιβλίοις
   1x  βιβλία
   1x  βεβαμμένον
   1x  βδελυγμάτων
   1x  βδέλυγμα
   1x  βαστάσαι
   1x  βαστάζοντος
   1x  βασιλεῦσιν
   1x  βασιλεύσει
   1x  βασιλείᾳ
   1x  βασιλέα
   1x  βασανισμὸν
   1x  βασανισθήσεται
   1x  βασανιζομένη
   1x  βασίλισσα
   1x  βαλοῦσιν
   1x  βαλεῖν
   1x  βαθέα
   1x  βίβλῳ
   1x  βίβλου
   1x  βήρυλλος
   1x  βάτραχοι
   1x  βάρος
   1x  βάλλειν
   1x  βάλλει
   1x  αὑτοὺς
   1x  αὐτὰς
   1x  αὐτοί
   1x  αὐτά
   1x  αὐλὴν
   1x  αὐλητῶν
   1x  αἰσχύνη
   1x  Χοῖνιξ
   1x  Φοβήθητε
   1x  Φιλαδελφίᾳ
   1x  Φιλαδελφίαν
   1x  Σόδομα
   1x  Σφράγισον
   1x  Συμεὼν
   1x  Σμύρνῃ
   1x  Σμύρναν
   1x  Σιών
   1x  Σάρδεις
   1x  Πλούσιός
   1x  Περγάμῳ
   1x  Πατρὶ
   1x  Παραδείσῳ
   1x  Πέσετε
   1x  Πέργαμον
   1x  Πάτμῳ
   1x  ΠΟΡΝΩΝ
   1x  Οὕτως
   1x  Νεφθαλεὶμ
   1x  Μωϋσέως
   1x  Μιχαὴλ
   1x  Μεγάλα
   1x  Μαρτυρῶ
   1x  Μανασσῆ
   1x  Μαγώγ
   1x  ΜΗΤΗΡ
   1x  ΜΕΓΑΛΗ
   1x  Λῦσον
   1x  Λευεὶ
   1x  Λαοδικίᾳ
   1x  Λαοδικίαν
   1x  Λέων
   1x  Λάβε
   1x  Κἀγὼ
   1x  Κύριέ
   1x  Κάθημαι
   1x  ΚΥΡΙΩΝ
   1x  ΚΥΡΙΟΣ
   1x  Θυάτειρα
   1x  Ζῶν
   1x  Ζαβουλὼν
   1x  Εὐχαριστοῦμέν
   1x  Εὐφραίνου
   1x  Εὐφράτῃ
   1x  Εὐφράτην
   1x  Δεῦτε
   1x  Δεσπότης
   1x  Γὼγ
   1x  Γὰδ
   1x  Γέγονεν
   1x  Γέγοναν
   1x  ΓΗΣ
   1x  Βενιαμεὶν
   1x  Βαλὰκ
   1x  Βαλαάμ
   1x  ΒΔΕΛΥΓΜΑΤΩΝ
   1x  ΒΑΣΙΛΕΩΝ
   1x  ΒΑΣΙΛΕΥΣ
   1x  ΒΑΒΥΛΩΝ
   1x  Αἴγυπτος
   1x  Αἰνεῖτε

═══════════════════════════════════════════════════════════════════════════════
PALAVRAS MANTIDAS NO ORIGINAL
═══════════════════════════════════════════════════════════════════════════════

   7x  Θεός
   1x  Θεόν

═══════════════════════════════════════════════════════════════════════════════
PALAVRAS JÁ TRADUZIDAS
═══════════════════════════════════════════════════════════════════════════════

Freq.  Grego → Português
─────  ─────────────────────────────────────
  48x  ἑπτὰ → sete
  45x  εἶδον → vi
  33x  ἐνώπιον → diante
  32x  ἔχων → tendo
  28x  θρόνου → trono
  27x  ἤκουσα → ouvi
  26x  μετ’ → com
  25x  γῆν → terra
  23x  ἐπ’ → sobre
  23x  δώδεκα → doze
  22x  ἔτι → ainda
  21x  ἐδόθη → foi-dado
  19x  ἰδοὺ → eis
  17x  χιλιάδες → milhares
  16x  φωνὴν → voz
  16x  τρίτον → terço
  16x  θηρίον → besta
  15x  Ἀρνίου → Cordeiro
  15x  φυλῆς → tribo
  15x  ταῦτα → estas-coisas
  15x  οὔτε → nem
  15x  θηρίου → besta
  15x  εἰσιν → são
  14x  φωνῇ → voz
  13x  ὅτε → quando
  13x  ἐξουσίαν → autoridade
  13x  μεγάλῃ → grande
  13x  αἰῶνας → eras
  13x  αἰώνων → eras
  12x  ἁγίων → santos
  12x  φωνὴ → voz
  12x  βιβλίον → livro
  11x  ἔχουσιν → têm
  11x  ἔθνη → nações
  11x  ἐμοῦ → meu
  11x  ἄχρι → até
  11x  οὐδεὶς → ninguém
  11x  θάλασσαν → mar
  10x  ἤνοιξεν → abriu
  10x  ἐκκλησίαις → assembleias
  10x  πόλις → cidade
  10x  δώσω → darei
  10x  βασιλεῖς → reis
  10x  αὐτούς → eles
   9x  ἔβαλεν → lançou
   9x  στόματος → boca
   9x  μεγάλης → grande
   9x  μεγάλην → grande
   9x  κεφαλὰς → cabeças
   9x  καθήμενος → sentado
   9x  θαλάσσης → mar
   9x  δύο → dois
   9x  δράκων → dragão
   9x  δέκα → dez
   9x  γράψον → escreve
   8x  ἔχεις → tens
   8x  ἔπεσαν → caíram
   8x  ἐξῆλθεν → saiu
   8x  ἐξουσία → autoridade
   8x  ἐβλήθη → foi-lançado
   8x  Ἀρνίον → Cordeiro
   8x  ἄλλος → outro
   8x  ἀκουσάτω → ouça
   8x  τεσσάρων → quatro
   8x  τέσσαρες → quatro
   8x  σφραγῖδα → selo
   8x  πόλεως → cidade
   8x  πόλεμον → guerra
   8x  ποιῆσαι → fazer
   8x  οὗτοι → estes
   8x  οὖς → ouvido
   8x  κέρατα → chifres
   8x  θυμοῦ → ira
   8x  εἶ → és
   8x  εἰμι → sou
   8x  Οὐαὶ → Ai
   7x  ὅμοιον → semelhante
   7x  Ἰδοὺ → Eis
   7x  ἑπτά → sete
   7x  ἐσάλπισεν → tocou-trombeta
   7x  ἐξέχεεν → derramou
   7x  χάραγμα → marca
   7x  φιάλην → taça
   7x  τρεῖς → três
   7x  πόλιν → cidade
   7x  προφητείας → profecia
   7x  προσεκύνησαν → adoraram
   7x  νικῶν → vencendo
   7x  μαρτυρίαν → testemunho
   7x  μέσῳ → meio
   7x  λέγοντος → dizendo
   7x  θρόνῳ → trono
   7x  εἷς → um
   7x  εἶδες → viste
   7x  αὐτήν → ela
   7x  Παντοκράτωρ → Todo-Poderoso
   6x  ὄνομά → nome
   6x  ὀνόματα → nomes
   6x  Ἔρχου → Vem
   6x  ἔτη → anos
   6x  ἔστιν → é
   6x  ἐστίν → é
   6x  ἐθνῶν → nações
   6x  χειρὶ → mão
   6x  χίλια → mil
   6x  φωνῆς → voz
   6x  τεσσεράκοντα → quarenta
   6x  ταχύ → rapidamente
   6x  τέσσαρας → quatro
   6x  σάρκας → carnes
   6x  πυλῶνες → portões
   6x  προσκυνήσουσιν → adorarão
   6x  πρεσβυτέρων → anciãos
   6x  πορνείας → imoralidade
   6x  πολλῶν → muitos
   6x  οἴνου → vinho
   6x  ναοῦ → templo
   6x  μίαν → uma
   6x  λίθῳ → pedra
   6x  καπνὸς → fumaça
   6x  καθημένῳ → sentado
   6x  καθημένου → sentado
   6x  θυσιαστηρίου → altar
   6x  θηρίῳ → besta
   6x  εὑρέθη → foi-encontrado
   6x  δρέπανον → foice
   6x  δεύτερος → segundo
   6x  γυνὴ → mulher
   6x  γεγραμμένον → escrito
   5x  ᾠδὴν → cântico
   5x  ὢν → sendo
   5x  ὅμοιος → semelhante
   5x  ὀργῆς → ira
   5x  ἔχουσα → tendo
   5x  ἔχοντα → tendo
   5x  ἔπεσεν → caiu
   5x  ἔκραξεν → gritou
   5x  ἐκεῖ → ali
   5x  ἐγένοντο → tornaram-se
   5x  Ἀμήν → Amém
   5x  ἄλλο → outro
   5x  ἀριθμὸς → número
   5x  ἀπῆλθεν → partiu
   5x  ἀνοῖξαι → abrir
   5x  ἀνθρώπους → homens
   5x  ἀλλ’ → mas
   5x  φωναὶ → vozes
   5x  φιάλας → taças
   5x  τέσσερα → quatro
   5x  στόμα → boca
   5x  σοῦ → teu
   5x  σοὶ → a-ti
   5x  σεισμὸς → terremoto
   5x  πρεσβύτεροι → anciãos
   5x  οὕτως → assim
   5x  οὐρανὸν → céu
   5x  οἵτινες → os-quais
   5x  μή → não
   5x  μέγαν → grande
   5x  λόγους → palavras
   5x  λεγούσης → dizendo
   5x  λέγουσαν → dizendo
   5x  κατοικοῦντας → habitantes
   5x  θρόνον → trono
   5x  εἰσὶν → são
   5x  εἰσίν → são
   5x  γυναῖκα → mulher
   5x  βιβλίου → livro
   5x  βασιλέων → reis
   5x  αὐτό → isso
   5x  Κύριε → Senhor
   5x  Βαβυλὼν → Babilônia
   4x  ῥάβδῳ → vara
   4x  ὑποκάτω → debaixo
   4x  ὅμοιοι → semelhantes
   4x  ὄρος → monte
   4x  ὀφθαλμῶν → olhos
   4x  ἥτις → a-qual
   4x  ἔχοντες → tendo
   4x  ἔχοντας → tendo
   4x  ἑκατὸν → cem
   4x  ἐχόντων → tendo
   4x  ἐκπορεύεται → sai
   4x  ἐδύνατο → podia
   4x  ἐγενόμην → tornei-me
   4x  Ἁλληλουϊά → Aleluia
   4x  Ἀρνίῳ → Cordeiro
   4x  ἄλλον → outro
   4x  ἀστραπαὶ → relâmpagos
   4x  ἀστέρων → estrelas
   4x  ἀριθμὸν → número
   4x  ἀπεκτάνθησαν → foram-mortos
   4x  ἀδικῆσαι → prejudicar
   4x  τούτου → disto
   3x  Ὦ → Ômega
   3x  ἱερεῖς → sacerdotes
   3x  ἐρχόμενος → vindo
   3x  ἐγώ → eu
   3x  ἐάν → se
   3x  Ἄλφα → Alfa
   3x  ἀστέρας → estrelas
   3x  ἀμήν → amém
   3x  νεκρῶν → mortos
   3x  μάρτυς → testemunha
   3x  θρόνος → trono
   3x  θάλασσα → mar
   3x  δούλοις → servos
   2x  ὧδε → aqui
   2x  ἄξιος → digno
   2x  ἀπ’ → de
   2x  τούτῳ → nisto
   2x  τάχει → brevemente
   2x  πιστός → fiel
   2x  παρ’ → de
   2x  πάλιν → novamente
   2x  κράτος → domínio
   1x  Ἰωάνῃ → João
   1x  Ἐγώ → Eu
   1x  ἕως → até
   1x  ἐσήμανεν → significou
   1x  Ἀποκάλυψις → Revelação
   1x  ἁμαρτιῶν → pecados
   1x  ἀφ’ → de
   1x  ἀποστείλας → enviando
   1x  ἀγαπῶντι → amando
   1x  υἱός → filho
   1x  τε → e
   1x  ταύτης → desta
   1x  πότε → quando
   1x  πόλεμος → guerra
   1x  πρωτότοκος → primogênito
   1x  ποῦ → onde
   1x  πολύς → muito
   1x  οὕτω → assim
   1x  οὐρανός → céu
   1x  νεκρός → morto
   1x  μαρτυρία → testemunho
   1x  λύσαντι → libertou
   1x  εἰρήνη → paz
   1x  δούλῳ → servo
   1x  αὐτός → ele
   1x  Πνευμάτων → Espíritos
   1x  Μακάριος → Bem-aventurado

═══════════════════════════════════════════════════════════════════════════════
FIM DO RELATÓRIO
═══════════════════════════════════════════════════════════════════════════════
